Strike;0,3;1,3;2,3;3,3;4,3;5,3;6,3;7,3;8,3;9,3;15;20;25
800;0,727054391;0,571172379;0,45998967;0,481028969;0,483138122;0,448527773;0,465777616;0,449026588;0,44692327;0,44186548;0,48960125;0,475462376;0,475989352
1100;0,57441278;0,423668116;0,495875318;0,450731345;0,427112913;0,453906594;0,413285873;0,401919889;0,384599541;0,381767622;0,421874747;0,408233789;0,395861041
1300;0,531488852;0,501864284;0,456840967;0,447140612;0,410916382;0,411265953;0,405645268;0,390294856;0,394285392;0,379552365;0,40480092;0,417518057;0,407212924
1400;0,526611008;0,491858088;0,440661726;0,420534216;0,406766076;0,404819105;0,403350641;0,40315427;0,375783127;0,376733658;0,372969394;0,399950841;0,392566329
1500;0,5004076;0,455824306;0,424620204;0,405157879;0,411216287;0,379871213;0,402020926;0,381289055;0,375237617;0,358467335;0,368264175;0,387886241;0,397983632
2000;0,413458025;0,36146347;0,366701231;0,3543503;0,368050444;0,352450566;0,341202014;0,322597702;0,350818371;0,323229808;0,366120824;0,349947267;0,361732062
2200;0,378034219;0,360918802;0,34728063;0,338907629;0,342880163;0,348987307;0,335885555;0,318308517;0,339208088;0,309310304;0,337244941;0,356855938;0,32917939
2400;0,326171845;0,313593975;0,329755364;0,320538472;0,309479426;0,332567908;0,329702102;0,327082692;0,322131227;0,306113233;0,346301143;0,334775226;0,33098848
2500;0,298637865;0,324521103;0,30308788;0,321149263;0,320796646;0,301989972;0,300636291;0,306268302;0,312850096;0,306269725;0,332853532;0,323797115;0,328235425
2600;0,285027184;0,308363393;0,290317898;0,320290483;0,318051732;0,309949698;0,313581928;0,315232241;0,29868944;0,29303107;0,33081727;0,335023165;0,323242658
2700;0,254336492;0,286026911;0,300956362;0,303652203;0,289174499;0,304624387;0,314763627;0,296937862;0,303895479;0,30537425;0,306762555;0,315873312;0,32232961
2800;0,23718994;0,284099552;0,279574515;0,281255555;0,281604023;0,305345887;0,303964189;0,305599872;0,288140829;0,306729265;0,322485641;0,315882436;0,329470677
2900;0,209105925;0,252703463;0,280243021;0,280015676;0,287800206;0,281554967;0,292182702;0,294751718;0,30322422;0,306003419;0,30241579;0,31307733;0,312167981
3000;0,169733237;0,252987648;0,282409721;0,288610048;0,292079807;0,298078778;0,285995498;0,293130473;0,300843256;0,295826875;0,295534833;0,295767857;0,318277957
3800;0,313395022;0,231169363;0,24050636;0,249538612;0,263102727;0,246928338;0,2525535;0,272607945;0,282139267;0,285307328;0,297563268;0,296918166;0,286842508
4000;0,313239025;0,234370059;0,247875221;0,245901245;0,261472687;0,241712331;0,258678825;0,267060834;0,284102345;0,283254811;0,285494186;0,286827743;0,302665727
4400;0,334414674;0,271004855;0,248123746;0,264644965;0,242579814;0,244312948;0,256509529;0,247051422;0,270220916;0,274927602;0,31075346;0,307666512;0,288710385
5000;0,342239581;0,308459666;0,289469902;0,293139162;0,263165892;0,311996118;0,251704626;0,284959128;0,296275794;0,280168744;0,307304039;0,31140745;0,303562841
6000;0,355442778;0,403866759;0,364080605;0,333872101;0,279746322;0,324383669;0,257862505;0,325540891;0,304808746;0,311250356;0,340533921;0,345877838;0,345941324
10000;0,458577543;0,643936283;0,543384499;0,440005747;0,441471415;0,41843946;0,421564225;0,428518143;0,427283851;0,430826138;0,419699665;0,450887765;0,440736905
